Job Id,Experience,Qualifications,Salary Range,location,Country,latitude,longitude,Work Type,Company Size,Job Posting Date,Preference,Contact Person,Contact,Job Title,Role,Job Portal,Job Description,Benefits,skills,Responsibilities,Company,Company Profile
1191707058920608,4 to 9 Years,BA,$62K-$129K,Charlotte Amalie,Virgin Islands (U.S.),18.3358,-64.8963,Intern,125427,2022-05-30,Female,Justin Escobar,(302)230-3896,Account Director,Account Strategist,SimplyHired,"Account Strategists work in advertising or marketing agencies, managing client accounts. They develop strategies to meet client goals, oversee campaign execution, and maintain client satisfaction by providing expert guidance and solutions.","{'Employee Assistance Programs (EAP), Tuition Reimbursement, Profit-Sharing, Transportation Benefits, Parental Leave'}",Account management Client relations Marketing strategies Campaign optimization Data analysis Communication skills,Develop account strategies and marketing plans to achieve client objectives. Analyze campaign performance data and provide strategic recommendations. Collaborate with cross-functional teams.,Bajaj Auto,"{""Sector"":""Automotive"",""Industry"":""Automotive"",""City"":""Pune"",""State"":""Maharashtra"",""Zip"":""411035"",""Website"":""https://www.bajajauto.com/"",""Ticker"":""BAJAJ-AUTO"",""CEO"":""Rakesh Sharma""}"
579575048679091,3 to 9 Years,MCA,$59K-$117K,"Washington, D.C.",USA,37.0902,-95.7129,Temporary,126334,2023-06-07,Male,Andrew Mitchell,(458)321-6225x194,Network Engineer,Wireless Network Engineer,USAJOBS,"Wireless Network Engineers design, implement, and maintain wireless network solutions. They optimize wireless connectivity, troubleshoot issues, and ensure reliable and secure wireless communications.","{'Flexible Spending Accounts (FSAs), Relocation Assistance, Legal Assistance, Employee Recognition Programs, Financial Counseling'}",Wireless network design and architecture Wi-Fi standards and protocols RF (Radio Frequency) planning and optimization Wireless security protocols Troubleshooting wireless network issues,"Design, configure, and optimize wireless networks, ensuring reliable and secure wireless connectivity. Troubleshoot wireless network issues. Plan and implement wireless network upgrades.",Lendlease Group,"{""Sector"":""Real Estate/Construction"",""Industry"":""Real Estate"",""City"":""Sydney"",""State"":""NSW"",""Zip"":""2000"",""Website"":""https://www.lendlease.com/"",""Ticker"":""LLC"",""CEO"":""Tony Lombardo""}"
288941837754490,4 to 15 Years,B.Tech,$57K-$117K,"Washington, D.C.",USA,37.0902,-95.7129,Intern,35869,2021-09-23,Both,Jeremy Wiley,(351)897-4699x408,Landscape Architect,Urban Planner,The Muse,"Develop and implement urban planning strategies, manage land use, and ensure sustainable city development.","{'Employee Referral Programs, Financial Counseling, Health and Wellness Facilities, Casual Dress Code, Flexible Spending Accounts (FSAs)'}",Urban design and planning Zoning regulations GIS and mapping tools,"Plan and design urban spaces, parks, and recreational areas. Consider sustainability and community needs in design. Collaborate with city planners and architects.",United Technologies Corporation,"{""Sector"":""Aerospace/Building Systems"",""Industry"":""Aerospace and Defense"",""City"":""Farmington"",""State"":""CT"",""Zip"":""6032"",""Website"":""https://www.utc.com/"",""Ticker"":""UTX"",""CEO"":""N/A""}"
2396981913902322,2 to 12 Years,PhD,$59K-$85K,Charlotte Amalie,Virgin Islands (U.S.),18.3358,-64.8963,Intern,48609,2022-04-26,Both,Linda Nielsen,001-945-554-3090x5293,Network Administrator,Network Security Analyst,Jobs2Careers,"Protect an organizations computer networks and systems from security threats, monitor network traffic, and respond to incidents.","{'Legal Assistance, Bonuses and Incentive Programs, Wellness Programs, Employee Discounts, Retirement Plans'}",Network security protocols Intrusion detection and prevention Security incident response Firewall administration Vulnerability assessment Security policies and procedures Log analysis Ethical hacking Problem-solving Communication skills Attention to detail,"Manage and secure computer networks, including firewalls and intrusion detection systems. Monitor network traffic for security threats. Implement security policies and procedures.",Taylor Wimpey,"{""Sector"":""Real Estate"",""Industry"":""Real Estate/Construction"",""City"":""High Wycombe"",""State"":""N/A"",""Zip"":""N/A"",""Website"":""www.taylorwimpey.co.uk"",""Ticker"":""TW.L"",""CEO"":""Pete Redfern""}"
2329568533791555,5 to 9 Years,BA,$56K-$81K,Charlotte Amalie,Virgin Islands (U.S.),18.3358,-64.8963,Part-Time,47632,2023-07-11,Male,Yvonne Thornton,706.686.6388,Account Manager,Sales Account Manager,SimplyHired,"A Sales Account Manager is responsible for building and maintaining relationships with clients, identifying their needs, and proposing tailored solutions to achieve sales targets.","{'Life and Disability Insurance, Stock Options or Equity Grants, Employee Recognition Programs, Health Insurance, Social and Recreational Activities'}",Account management Sales strategy Negotiation and closing skills,Manage sales accounts and ensure revenue growth. Identify cross-selling and upselling opportunities. Develop account strategies and forecasts.,Netflix,"{""Sector"":""Entertainment"",""Industry"":""Entertainment"",""City"":""Los Gatos"",""State"":""California"",""Zip"":""95032"",""Website"":""www.netflix.com"",""Ticker"":""NFLX"",""CEO"":""Ted Sarandos""}"
1884600036407122,2 to 14 Years,B.Tech,$61K-$109K,Charlotte Amalie,Virgin Islands (U.S.),18.3358,-64.8963,Contract,31915,2022-01-21,Male,Daniel Beck,460-639-4156x7529,Investment Banker,Financial Analyst,FlexJobs,"A Financial Analyst conducts financial analysis, generates reports, and provides insights to support decision-making, budgeting, and financial planning.","{'Employee Referral Programs, Financial Counseling, Health and Wellness Facilities, Casual Dress Code, Flexible Spending Accounts (FSAs)'}",Financial analysis Data analysis Financial modeling,"Analyze financial data, research investment opportunities, and provide recommendations for investment decisions. Create financial models and projections. Collaborate with clients on investment strategies.",CarMax,"{""Sector"":""Retail"",""Industry"":""Automotive Retailing, Services"",""City"":""Richmond"",""State"":""Virginia"",""Zip"":""23238"",""Website"":""www.carmax.com"",""Ticker"":""KMX"",""CEO"":""William D. Nash""}"
1269640404131287,4 to 8 Years,M.Tech,$63K-$90K,Charlotte Amalie,Virgin Islands (U.S.),18.3358,-64.8963,Full-Time,134516,2022-04-04,Both,Victoria Johnson,394-741-8570x43285,Market Research Analyst,Market Research Coordinator,Jobs2Careers,"A Market Research Coordinator supports market research initiatives by organizing and managing research projects, data collection, and analysis efforts.","{'Tuition Reimbursement, Stock Options or Equity Grants, Parental Leave, Wellness Programs, Childcare Assistance'}",Market research coordination Survey design and administration Data analysis,"Coordinate research projects, including participant recruitment and data collection. Collaborate with research teams and ensure project timelines are met. Maintain research databases and records.",Lumen Technologies,"{""Sector"":""Telecommunications"",""Industry"":""Telecommunications"",""City"":""Monroe"",""State"":""Louisiana"",""Zip"":""71203"",""Website"":""www.lumen.com"",""Ticker"":""LUMN"",""CEO"":""Kathleen E. Johnson""}"
2802376880223274,0 to 9 Years,B.Tech,$63K-$90K,"Washington, D.C.",USA,37.0902,-95.7129,Intern,80163,2023-05-20,Both,Wanda Ramirez,+1-686-480-0278x33623,UX Researcher,UX Strategist,SimplyHired,"Develop user experience (UX) strategies, create user journeys, and ensure user-centric design in product development.","{'Transportation Benefits, Professional Development, Bonuses and Incentive Programs, Profit-Sharing, Employee Discounts'}",User experience strategy User journey mapping Design thinking,Develop UX strategies and roadmaps based on user research and business goals. Collaborate with design and development teams to implement UX enhancements. Conduct usability assessments of existing products.,International Flavors & Fragrances,"{""Sector"":""Flavors & Fragrances"",""Industry"":""Chemicals"",""City"":""New York"",""State"":""New York"",""Zip"":""10019"",""Website"":""www.iff.com"",""Ticker"":""IFF"",""CEO"":""Frank Clyburn""}"
667513550274021,1 to 14 Years,PhD,$57K-$88K,Charlotte Amalie,Virgin Islands (U.S.),18.3358,-64.8963,Contract,132375,2022-05-28,Male,Rachel Lopez,704-941-8215x27253,Nurse Practitioner,Acute Care Nurse Practitioner,SimplyHired,"Acute Care Nurse Practitioners focus on managing acute and critical medical conditions, often working in hospitals or emergency care settings.","{'Employee Referral Programs, Financial Counseling, Health and Wellness Facilities, Casual Dress Code, Flexible Spending Accounts (FSAs)'}",Acute care nursing Emergency medicine Critical care Diagnostic tests Treatment planning,"Specialize in acute care settings, managing complex medical conditions and critical illnesses. Collaborate with healthcare teams in hospital settings. Make critical medical decisions and interventions.",Barclays,"{""Sector"":""Financial Services"",""Industry"":""Banking"",""City"":""London"",""State"":""N/A"",""Zip"":""N/A"",""Website"":""www.barclays.com"",""Ticker"":""BCS"",""CEO"":""Jes Staley""}"
514756289800385,0 to 11 Years,M.Tech,$61K-$98K,Charlotte Amalie,Virgin Islands (U.S.),18.3358,-64.8963,Full-Time,113952,2022-02-01,Male,Susan Rios,(933)601-1668x5591,Quality Assurance Analyst,QA Tester,SimplyHired,"QA Testers assess software and applications for defects and quality issues. They conduct testing procedures, report bugs, and work with development teams to ensure the delivery of high-quality software products.","{'Employee Referral Programs, Financial Counseling, Health and Wellness Facilities, Casual Dress Code, Flexible Spending Accounts (FSAs)'}","Test planning and strategy Test case design and execution Defect reporting and tracking Test automation tools (e.g., Selenium, Appium) Regression testing","Develop and execute test plans and test cases to identify software defects and issues. Document and report bugs, errors, and anomalies. Collaborate with development teams to resolve issues.",Rightmove,"{""Sector"":""Real Estate"",""Industry"":""Internet/Technology"",""City"":""London"",""State"":""N/A"",""Zip"":""N/A"",""Website"":""www.rightmove.co.uk"",""Ticker"":""RMV.L"",""CEO"":""Peter Brooks-Johnson""}"
